Designator,Mid X,Mid Y,Rotation,Layer
C1,165.4,-74.7125,90.0,top
C10,161.8,-65.3625,90.0,top
C11,163.35,-65.35,90.0,top
C12,160.55,-78.15,0.0,top
C13,147.065763,-64.569596,0.0,top
C14,149.865258,-67.5375,90.0,top
C2,167.95,-70.4,180.0,top
C3,166.65,-68.65,0.0,top
C4,151.75,-67.3625,90.0,top
C5,153.3,-67.3625,90.0,top
C6,156.55,-64.9,90.0,top
C7,146.1,-76.667082,270.0,top
C8,146.9,-71.7,180.0,top
C9,155.0,-64.9,90.0,top
Conn1,159.944444,-71.399868,247.5,top
D1,160.694441,-62.465766,180.0,top
D3,143.658571,-63.488257,90.0,top
D4,160.5,-79.9,180.0,top
F1,146.932181,-62.122178,180.0,top
J1,138.975484,-72.166136,270.0,top
LED1,155.750038,-55.350013,0.0,top
R1,172.6375,-65.75,0.0,top
R2,165.4,-71.3125,270.0,top
R3,136.992171,-79.500333,180.0,top
R4,140.681516,-79.459908,0.0,top
R5,151.75,-71.7,0.0,top
R6,151.75,-70.2,0.0,top
R7,159.654291,-65.527758,90.0,top
R8,146.1875,-80.35,0.0,top
R9,154.55,-76.917082,0.0,top
SW1,177.1,-77.859437,180.0,top
SW2,177.1,-65.2,180.0,top
U1,159.116394,-71.975795,90.0,top
U2,150.3,-76.517082,90.0,top
U3,146.85,-68.6375,90.0,top
X1,168.514301,-72.985827,0.0,top
